0.633328,0.065864,0.127864,0.172945
0.558738,0.095520,0.156716,0.189026
0.009857,0.111349,0.210302,0.668492
0.091732,0.557989,0.115596,0.234683
0.524471,0.043539,0.196873,0.235116
0.076724,0.194882,0.212303,0.516091
0.004885,0.124736,0.126698,0.743682
0.044846,0.692562,0.114132,0.148461
0.131434,0.605009,0.131648,0.131909
0.746481,0.005412,0.006407,0.241700
0.065185,0.127418,0.166787,0.640610
0.752171,0.019811,0.107480,0.120538
0.003499,0.045100,0.677423,0.273978
0.084276,0.098767,0.138978,0.677979
0.093827,0.119686,0.170802,0.615684
0.585105,0.113421,0.117866,0.183608
0.535130,0.081146,0.157845,0.225879
0.057518,0.139615,0.223702,0.579165
0.599876,0.017709,0.134176,0.248239
0.637630,0.019953,0.098472,0.243945
0.046849,0.112189,0.697263,0.143699
0.071574,0.115604,0.212437,0.600386
0.145419,0.180372,0.475238,0.198971
0.686841,0.013408,0.088687,0.211064
0.083664,0.158663,0.211343,0.546330
0.115772,0.549791,0.133470,0.200967
0.069509,0.147067,0.228516,0.554908
0.540710,0.134773,0.141375,0.183142
0.599709,0.125086,0.126091,0.149115
0.596687,0.081740,0.106498,0.215076
0.006757,0.179177,0.202511,0.611555
0.063027,0.094920,0.189863,0.652189
0.123975,0.144320,0.188114,0.543590
0.003972,0.113435,0.113845,0.768748
0.130570,0.146947,0.183999,0.538484
0.018618,0.095760,0.280652,0.604970
0.073427,0.127781,0.145355,0.653437
0.670766,0.014462,0.125141,0.189632
0.003941,0.144846,0.152604,0.698609
0.724132,0.021782,0.109894,0.144192
0.757050,0.000775,0.002602,0.239572
0.097597,0.121095,0.242477,0.538830
0.020968,0.665431,0.080409,0.233191
0.667149,0.017790,0.076816,0.238246
0.077427,0.128993,0.221438,0.572142
0.505581,0.101066,0.186431,0.206922
0.026376,0.114307,0.239673,0.619644
0.111809,0.131470,0.193536,0.563184
0.589130,0.045924,0.169541,0.195404
0.034047,0.179673,0.197745,0.588536
